Vehicle Class,Vehicle Category Group,Count,State,Vehicle Category
OMNI BUS,TOTAL,3,Andaman & Nicobar Island(8),PUBLIC SERVICE VEHICLE
FIRE FIGHTING VEHICLE,LMV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,OTH,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,TOTAL,1,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,MMV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,MGV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,HMV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,HGV,1,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,LGV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FORK LIFT,MGV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FORK LIFT,TOTAL,1,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FORK LIFT,OTH,1,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FORK LIFT,HMV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FORK LIFT,MMV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FORK LIFT,LMV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FORK LIFT,LGV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
FORK LIFT,HGV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,OTH,1,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,LGV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,MGV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,HMV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,MMV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,LMV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,HGV,0,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,TOTAL,1,Andaman & Nicobar Island(8),SPECIAL CATEGORY VEHICLES
ADAPTED VEHICLE,2WIC,247,Andhra Pradesh(80),TWO WHEELER
ADAPTED VEHICLE,TOTAL,247,Andhra Pradesh(80),TWO WHEELER
ADAPTED VEHICLE,2WT,0,Andhra Pradesh(80),TWO WHEELER
ADAPTED VEHICLE,2WN,0,Andhra Pradesh(80),TWO WHEELER
M-CYCLE/SCOOTER,2WIC,0,Andhra Pradesh(80),TWO WHEELER
M-CYCLE/SCOOTER,2WT,0,Andhra Pradesh(80),TWO WHEELER
M-CYCLE/SCOOTER,TOTAL,"3,29,050",Andhra Pradesh(80),TWO WHEELER
M-CYCLE/SCOOTER,2WN,"3,29,050",Andhra Pradesh(80),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WT,0,Andhra Pradesh(80),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,TOTAL,85,Andhra Pradesh(80),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WIC,0,Andhra Pradesh(80),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WN,85,Andhra Pradesh(80),TWO WHEELER
MOPED,2WN,"5,462",Andhra Pradesh(80),TWO WHEELER
MOPED,2WIC,0,Andhra Pradesh(80),TWO WHEELER
MOPED,2WT,0,Andhra Pradesh(80),TWO WHEELER
MOPED,TOTAL,"5,462",Andhra Pradesh(80),TWO WHEELER
MOTOR CYCLE/SCOOTER-SIDECAR(T),TOTAL,9,Andhra Pradesh(80),TWO WHEELER
MOTOR CYCLE/SCOOTER-SIDECAR(T),2WIC,0,Andhra Pradesh(80),TWO WHEELER
MOTOR CYCLE/SCOOTER-SIDECAR(T),2WT,9,Andhra Pradesh(80),TWO WHEELER
MOTOR CYCLE/SCOOTER-SIDECAR(T),2WN,0,Andhra Pradesh(80),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WN,0,Andhra Pradesh(80),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,TOTAL,153,Andhra Pradesh(80),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WIC,0,Andhra Pradesh(80),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WT,153,Andhra Pradesh(80),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),2WN,"20,021",Andhra Pradesh(80),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),2WIC,0,Andhra Pradesh(80),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),2WT,0,Andhra Pradesh(80),TWO WHEELER
MOTORISED CYCLE (CC > 25CC),TOTAL,"20,021",Andhra Pradesh(80),TWO WHEELER
E-RICKSHAW WITH CART (G),3WN,0,Andhra Pradesh(80),THREE WHEELER
E-RICKSHAW WITH CART (G),3WT,42,Andhra Pradesh(80),THREE WHEELER
E-RICKSHAW WITH CART (G),TOTAL,42,Andhra Pradesh(80),THREE WHEELER
E-RICKSHAW(P),3WN,0,Andhra Pradesh(80),THREE WHEELER
E-RICKSHAW(P),3WT,33,Andhra Pradesh(80),THREE WHEELER
E-RICKSHAW(P),TOTAL,33,Andhra Pradesh(80),THREE WHEELER
THREE WHEELER (GOODS),3WN,0,Andhra Pradesh(80),THREE WHEELER
THREE WHEELER (GOODS),3WT,"3,691",Andhra Pradesh(80),THREE WHEELER
THREE WHEELER (GOODS),TOTAL,"3,691",Andhra Pradesh(80),THREE WHEELER
THREE WHEELER (PASSENGER),3WN,0,Andhra Pradesh(80),THREE WHEELER
THREE WHEELER (PASSENGER),3WT,"13,888",Andhra Pradesh(80),THREE WHEELER
THREE WHEELER (PASSENGER),TOTAL,"13,888",Andhra Pradesh(80),THREE WHEELER
THREE WHEELER (PERSONAL),3WN,3,Andhra Pradesh(80),THREE WHEELER
THREE WHEELER (PERSONAL),3WT,0,Andhra Pradesh(80),THREE WHEELER
THREE WHEELER (PERSONAL),TOTAL,3,Andhra Pradesh(80),THREE WHEELER
ADAPTED VEHICLE,4WIC,29,Andhra Pradesh(80),FOUR WHEELER
ADAPTED VEHICLE,TOTAL,29,Andhra Pradesh(80),FOUR WHEELER
ADAPTED VEHICLE,LMV,0,Andhra Pradesh(80),FOUR WHEELER
ADAPTED VEHICLE,HMV,0,Andhra Pradesh(80),FOUR WHEELER
ADAPTED VEHICLE,MMV,0,Andhra Pradesh(80),FOUR WHEELER
MOTOR CAB,TOTAL,141,Andhra Pradesh(80),FOUR WHEELER
MOTOR CAB,HMV,0,Andhra Pradesh(80),FOUR WHEELER
MOTOR CAB,MMV,0,Andhra Pradesh(80),FOUR WHEELER
MOTOR CAB,LMV,141,Andhra Pradesh(80),FOUR WHEELER
MOTOR CAB,4WIC,0,Andhra Pradesh(80),FOUR WHEELER
MOTOR CAR,LMV,"40,191",Andhra Pradesh(80),FOUR WHEELER
MOTOR CAR,TOTAL,"40,191",Andhra Pradesh(80),FOUR WHEELER
MOTOR CAR,MMV,0,Andhra Pradesh(80),FOUR WHEELER
MOTOR CAR,HMV,0,Andhra Pradesh(80),FOUR WHEELER
MOTOR CAR,4WIC,0,Andhra Pradesh(80),FOUR WHEELER
OMNI BUS (PRIVATE USE),MMV,0,Andhra Pradesh(80),FOUR WHEELER
OMNI BUS (PRIVATE USE),4WIC,0,Andhra Pradesh(80),FOUR WHEELER
OMNI BUS (PRIVATE USE),HMV,0,Andhra Pradesh(80),FOUR WHEELER
OMNI BUS (PRIVATE USE),LMV,205,Andhra Pradesh(80),FOUR WHEELER
OMNI BUS (PRIVATE USE),TOTAL,205,Andhra Pradesh(80),FOUR WHEELER
AMBULANCE,2WT,0,Andhra Pradesh(80),AMBULANCE/HEARSES
AMBULANCE,LPV,75,Andhra Pradesh(80),AMBULANCE/HEARSES
AMBULANCE,MPV,0,Andhra Pradesh(80),AMBULANCE/HEARSES
AMBULANCE,HPV,0,Andhra Pradesh(80),AMBULANCE/HEARSES
AMBULANCE,LGV,3,Andhra Pradesh(80),AMBULANCE/HEARSES
AMBULANCE,MGV,0,Andhra Pradesh(80),AMBULANCE/HEARSES
AMBULANCE,HGV,0,Andhra Pradesh(80),AMBULANCE/HEARSES
AMBULANCE,TOTAL,78,Andhra Pradesh(80),AMBULANCE/HEARSES
CONSTRUCTION EQUIPMENT VEHICLE,LMV,5,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,OTH,969,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,HGV,11,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,MMV,38,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,MGV,14,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,LGV,8,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,TOTAL,"1,102",Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,HMV,57,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),HGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),MGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),OTH,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),LGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),LMV,2,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),TOTAL,9,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),HMV,2,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),MMV,5,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
DUMPER,HMV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
DUMPER,HGV,1,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
DUMPER,LMV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
DUMPER,TOTAL,1,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
DUMPER,MGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
DUMPER,LGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
DUMPER,MMV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
DUMPER,OTH,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),LGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),MGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),LMV,3,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),MMV,7,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),HGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),OTH,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),HMV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (COMMERCIAL),TOTAL,10,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),OTH,7,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),LGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),MGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),HMV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),MMV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),LMV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),HGV,0,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
EXCAVATOR (NT),TOTAL,7,Andhra Pradesh(80),CONSTRUCTION EQUIPMENT VEHICLE
ARTICULATED VEHICLE,LGV,0,Andhra Pradesh(80),GOODS VEHICLES
ARTICULATED VEHICLE,MGV,0,Andhra Pradesh(80),GOODS VEHICLES
ARTICULATED VEHICLE,HGV,77,Andhra Pradesh(80),GOODS VEHICLES
ARTICULATED VEHICLE,TOTAL,77,Andhra Pradesh(80),GOODS VEHICLES
CASH VAN,LGV,11,Andhra Pradesh(80),GOODS VEHICLES
CASH VAN,MGV,0,Andhra Pradesh(80),GOODS VEHICLES
CASH VAN,HGV,0,Andhra Pradesh(80),GOODS VEHICLES
CASH VAN,TOTAL,11,Andhra Pradesh(80),GOODS VEHICLES
GOODS CARRIER,LGV,"7,557",Andhra Pradesh(80),GOODS VEHICLES
GOODS CARRIER,MGV,336,Andhra Pradesh(80),GOODS VEHICLES
GOODS CARRIER,HGV,"5,284",Andhra Pradesh(80),GOODS VEHICLES
GOODS CARRIER,TOTAL,"13,177",Andhra Pradesh(80),GOODS VEHICLES
BUS,LPV,65,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
BUS,MPV,122,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
BUS,HPV,373,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
BUS,TOTAL,560,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
CAMPER VAN / TRAILER,LPV,0,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
CAMPER VAN / TRAILER,MPV,3,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
CAMPER VAN / TRAILER,HPV,2,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
CAMPER VAN / TRAILER,TOTAL,5,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
EDUCATIONAL INSTITUTION BUS,LPV,235,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
EDUCATIONAL INSTITUTION BUS,TOTAL,"1,022",Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
EDUCATIONAL INSTITUTION BUS,MPV,387,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
EDUCATIONAL INSTITUTION BUS,HPV,400,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
OMNI BUS,LPV,88,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
OMNI BUS,MPV,194,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
OMNI BUS,TOTAL,333,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
OMNI BUS,HPV,51,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
PRIVATE SERVICE VEHICLE,MPV,14,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
PRIVATE SERVICE VEHICLE,LPV,2,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
PRIVATE SERVICE VEHICLE,HPV,4,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
PRIVATE SERVICE VEHICLE,TOTAL,20,Andhra Pradesh(80),PUBLIC SERVICE VEHICLE
CRANE MOUNTED VEHICLE,LMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,OTH,51,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,HGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,MGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,LGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,HMV,4,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,MMV,15,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
CRANE MOUNTED VEHICLE,TOTAL,70,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,LGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,LMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,MGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,TOTAL,1,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,HMV,1,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,OTH,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,HGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE FIGHTING VEHICLE,MMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,LMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,LGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,HGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,TOTAL,1,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,OTH,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,HMV,1,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,MMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FIRE TENDERS,MGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FORK LIFT,MMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FORK LIFT,OTH,4,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FORK LIFT,MGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FORK LIFT,HGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FORK LIFT,TOTAL,10,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FORK LIFT,LGV,6,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FORK LIFT,HMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
FORK LIFT,LMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
HARVESTER,MGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
HARVESTER,LGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
HARVESTER,LMV,1,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
HARVESTER,TOTAL,28,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
HARVESTER,HMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
HARVESTER,OTH,27,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
HARVESTER,MMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
HARVESTER,HGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
LIBRARY VAN,HMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
LIBRARY VAN,LMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
LIBRARY VAN,TOTAL,1,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
LIBRARY VAN,MGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
LIBRARY VAN,HGV,1,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
LIBRARY VAN,OTH,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
LIBRARY VAN,MMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
LIBRARY VAN,LGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,HGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,OTH,23,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,TOTAL,27,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,MGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,LGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,HMV,1,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,MMV,2,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
ROAD ROLLER,LMV,1,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,HGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,LMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,LGV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,HMV,4,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,MMV,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
VEHICLE FITTED WITH COMPRESSOR,OTH,0,Andhra Pradesh(80),SPECIAL CATEGORY VEHICLES
