id_store_locator,latitude,longitude,store_name,retek_code,storeId,shop_opens_days,open_timings,closing_time,pincode,search_word,address,phone_number,store_manager_contact,whatsapp_number,store_image,gender,is_omnienable,hyperlocal_enabled,alteration,is_active,id_brand,distance,is_express_delivery_flag,static_msg,state,brand,timeLineMsg
67,28.680805,77.203857,AS Mainline Kamlanagar,34909,34909,,,,110007,"Kamlanagar,","Allen Solly,Shop No. 21, SPARK, Mandela Chowk, Kamlanagar, Delhi-110007",011-65754909 ,8860285102.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,,0,0,0,1,2,14.517352637240265,0,,Uttar Pradesh,allensolly,
51,28.5702,77.241096,Allen Solly LAJPAT NAGAR,32979,32979,,,,110024,"Lajpat nagar II,110023, 110025, 110000","Allen solly ,E -20/B ,Veer Savarkar Road, Lajpat nagar II ,New Delhi, 110024",011-41032979,8860285102.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,"Mens, Womens",0,1,1,1,2,13.463821351386905,0,,Uttar Pradesh,allensolly,
8646,28.9779,79.396896,Allen Solly Rudrapur,37284,37284,,10:30 AM,09:00 PM,263153,,"Allen Solly Store, Matke Wali Gali, Rudrapur, Udham Singh Nagar, Uttarakhand-263153",,8393868583.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Mens,0,1,1,1,2,11.867812564626988,0,,Uttar Pradesh,allensolly,
8406,29.0016,79.399498,Allen Solly Metropolis Mall,39793,39793,,,,263153,,Allen solly Shop no -16 first floor metropolis mall Rudrapur Udham Singh Nagar Uttarakhand pin -263153,na,,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Kids,0,1,1,1,2,12.940444580632477,0,,Uttar Pradesh,allensolly,
5992,29.001801,79.400002,Allen Solly Rudrapur,39922,39922,,,,263153,,"Allen Solly Shop No. 6 1st Floor Metropolis Mall, Rudrapur Udham Singh Nagar",,7055876066.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Mens,0,1,1,1,2,12.994237865853016,0,,Uttar Pradesh,allensolly,
4626,25.4403,78.282097,Allen Solly SADAR BAZAR,34514,34514,,,,284001,"284000, 284001, 284002","Allen Solly, Shop No 607, Bela Road, New Market, Sadar Bazar, Jhansi, UP - 284001",9935727889,9935727889.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Mens,0,1,0,1,2,13.08229482795993,0,,Uttar Pradesh,allensolly,
9225,26.80962,81.01252,F-21-Phoenix Palassio,78474,78474,,,,226010,,"Unit No G 84, Ground Floor Phoenix Palassio Lucknow, Sector -7 , Gomti Nagar , Extension , Lucknow -226010",0522-6789077,,,https://imagescdn.forever21.in/img/app/brand/production/2.2_F21.jpg,"Mens, Womens, Kids",0,0,0,1,16,7.545396762187777,0,,Uttar Pradesh,forever-21,
9422,26.855301,80.9459,Saharaganj Mall - Lucknow,8434,8434,,,,226001,,"Forever 21 Store: Saharaganj Mall,1st floor ,#101, Shahnajaf Road, Hazratganj, Lucknow, Uttar Pradesh 226001",5224236039,9910857967.0,,https://imagescdn.forever21.in/img/app/brand/production/2.2_F21.jpg,,0,0,0,1,16,9.073097616433207,0,,Uttar Pradesh,forever-21,
9427,28.5672,77.321098,Mall of India - Noida,8405,8405,,,,201301,,"Forever 21 Store:DLF Mall Of India C-116, GF Mall Of India Plot 3 Sec, Sector 18, Noida, Uttar Pradesh 201301",0120-2428250,9811131455.0,,https://imagescdn.forever21.in/img/app/brand/production/2.2_F21.jpg,,0,0,0,1,16,9.834573815532524,0,,Uttar Pradesh,forever-21,
9212,28.566799,77.320778,F21- MALL OF INDIA,78405,78405,,,,201301,,"Forever 21 Store:
DLF Mall Of India C-116, GF Mall Of India Plot 3 Sec, Sector 18, Noida, Uttar Pradesh 201301",1206229526,,,https://imagescdn.forever21.in/img/app/brand/production/2.2_F21.jpg,"Mens, Womens, Kids",0,1,0,1,16,9.888269154025396,0,,Uttar Pradesh,forever-21,
225,29.472395,77.721512,LP Flagship Bhopa Road,13272,13272,,,,251001,"Grand Mall, Muzaffarnagar","Louis Philippe, Grand Mall Ground floor Site no 7,8,9,10 Bhopa Road Muzaffarnagar -251001",0131 2410167,0.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,14.35660204538931,0,,Uttar Pradesh,louis-philippe,
4719,26.749701,83.400803,Louis Philippe,13727,13727,,,,273008,273008,"3727	13727	sr102849@abfrl.adityabirla.com	Louis Philippe,F-1,Ground Floor,Orion Mall,Shree Talkies,Mohaddipur,Gorakhpur-273008 (Uttar Pradesh)",9889196951,9889196951.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,11.781962102705942,0,,Uttar Pradesh,louis-philippe,
8603,26.75181,83.384903,Louis Philippe,17527,17527,,,,273001,,"#25, City Mall ,Bearing # 06,Khasra #101,Gorakhpur -273001",9044524239,9044524239.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,13.31242877165104,0,,Uttar Pradesh,louis-philippe,
350,26.753202,83.378021,LP Flagship Gorakhpur,13072,13072,,,,273001,"City Centre Mall, Gorakhur,273001","Louis Philippe, #25, City Mall, bearing #06, Khasra #101, Civil Lines Park Road, Gorakhpur - 273001",0551 2202276,9336529129.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,14.00046112663147,0,,Uttar Pradesh,louis-philippe,
8719,25.3255,82.995201,Louis Philippe,17289,17289,,,,221001,,"LOUIS PHILIPPE, PLOT NO 216, MUNICIPAL NO C-21/4 - E-1, R/C, MALDAHIYA, CHETGANJ, VARANASI, UTTAR PRADESH - 221001
",7905141616,7905141616.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,7.954135462232013,0,,Uttar Pradesh,louis-philippe,
5160,25.321699,82.987289,Louis Philippe,13750,13750,,,,221002,,"Louis Philippe Plot No-S20/55-1JHV MallRoad,Cantonment Ground Floor,Shop No G-1 Varanasi-221002",9918806445,9918806445.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,8.84589675684668,0,,Uttar Pradesh,louis-philippe,
270,25.311213,82.989128,LP Flagship Sigra,13080,13080,,,,221010,"Sirga, Varanasi,221010","Louis Philippe, # D-58/9 A, 1 K, Ground & First Floor, Rathyatra Rd, Sigra, Varanasi - 221010",0542 2222854,9581068519.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,9.152494504727697,0,,Uttar Pradesh,louis-philippe,
8448,25.292622,82.999763,Louis Philippe,15388,15388,,,,221005,,"Louis Philippe, Ground Floor and First Floor, Gyanlok,B27/78 A-1& A-1-A, New Area, Bhelupur, Varanasi, Dugrakund, Uttar Pradesh-221010",9889196951,9889196951.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,9.45592604041316,0,,Uttar Pradesh,louis-philippe,
313,25.303968,82.990005,LP Flagship Durgakund,13260,13260,,,,221005,"Durgakund, Varanasi","Louis Philippe, No B 27/70, Ground floor, Rani Barhar Kothi, Durgakund, Ward Bhelupur, Varanasi-221005",0542 2310694,9851950284.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,9.478369789811596,0,,Uttar Pradesh,louis-philippe,
8641,25.306284,82.974907,Louis Philippe,16884,16884,,,,221010,,"D63/10-B1/A, MAHMOOR GANJ VARANASI
",8840397732,8840397732.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,10.674560166103896,0,,Uttar Pradesh,louis-philippe,
8800,28.729725,77.789108,Hapur,17995,17995,,10:00am,9:00pm,245101,,"30/20 garh Delhi road Pkka bag Hapur (UP) 245101
",7703873292,7703873292.0,7905895773.0,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,14.485456064334192,0,,Uttar Pradesh,louis-philippe,
5932,28.8445,78.762802,Louis Philippe,13748,13748,,,,244001,,"LOUIS PHILIPPE,SHOP NO 1&3,PLOT NO 2 ,VILLAGE SONAKPUR KANTH ROAD MORADABAD , UTTAR PRADESH-244001",0591-2970824,9568681147.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,10.143396144723736,0,,Uttar Pradesh,louis-philippe,
376,28.423155,79.456322,LP Flagship Barieli,13075,13075,,,,243002,"Pheniox united Market city Mall, Bareilly,243002","Louis Philippe, #G -38, Ground floor, Phoenix United Mall, Mahanagar Colony, Pilibhit bypass Road, Bareilly - 243002",0581 2583305,9920282525.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,5.929685805017834,0,,Uttar Pradesh,louis-philippe,
8699,28.394899,79.456596,Louis Philippe,17547,17547,,,,243002,,"Louis Philippe, #G -38, Ground floor, Phoenix United Mall, Mahanagar Colony, Pilibhit bypass Road, Bareilly - 243002. U.P.
",9557941931,9557941931.0,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,6.674895127765352,0,,Uttar Pradesh,louis-philippe,
